Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_Difference,Power,Strain,Target
1.0,-0.2520773264259952,0.5220588235294121,-0.6074432840733474,-0.5294117647058882,0.5916512200982444,-0.6447618404023051,0
1.0,-0.5689319898085281,0.463235294117647,0.18743469570683108,0.882352941176447,0.34621615582604515,0.11362352464613772,0
1.0,-0.8107710570900265,0.4044117647058825,0.22065563570733365,0.47058823529411176,0.14018806742087625,0.11957217001365406,0
0.0,-0.5011668370597723,1.1911764705882355,-0.21557635144261933,0.6470588235294078,1.2152764852107805,-0.28022701994699045,0
0.0,1.1298501725475707,-0.8382352941176475,-0.6754140735843912,0.9411764705881901,-0.799865182268111,-0.5584328676564237,0
2.0,1.0052479295324033,-0.6102941176470591,-2.2368764611872822,0.4705882352940783,-0.4260244598936105,-2.199966135980299,0
1.0,-1.3803044407643517,0.8970588235294118,-0.02535900959626924,0.29411764705881566,0.4212244762770429,-0.1889548507639346,0
2.0,-0.4899286626904294,0.007352941176470696,-0.6579341979605844,0.9411764705881901,-0.2282111461974877,-0.7221525140465492,0
1.0,0.5358124633416841,0.036764705882352956,-0.270149745385259,-0.29411764705881566,0.3707558384548303,-0.21865651047695628,0
2.0,-0.3894945479667394,0.13970588235294112,0.016517625067908357,0.882352941176447,0.014776057144721643,-0.03633243349079216,0
0.0,-0.19776953010816875,0.17647058823529407,0.49898238108434967,0.823529411764704,0.16970057670598673,0.4645255241899023,0
0.0,0.935170079491518,-0.7720588235294121,0.07205326956644566,0.5294117647058882,-0.7725660707029055,0.16722479726527933,0
0.0,0.19296282931703568,-0.2794117647058828,0.4396079874451323,0.9999999999999666,-0.29699142841342313,0.4493575852789231,0
0.0,0.0630978330055131,0.0,0.4598377221417715,0.11764705882351957,0.06103428947724128,0.4548933912837434,0
1.0,-0.4451343612728337,0.5220588235294121,-4.2147857469968235,-0.23529411764703914,0.4869346695427003,-10.656595099860663,0
0.0,0.5801001020605899,-0.5220588235294121,0.5725077446981198,0.8235294117646704,-0.49719601373799177,0.6245129028637886,0
0.0,-1.468735557076121,1.4926470588235299,0.2589671753777405,0.7058823529411509,0.9929463963472164,0.08398393663118796,0
0.0,0.3156661424899651,-0.4632352941176476,0.47962281108507415,0.7647058823529274,-0.5375325443669858,0.5027935362473216,0
0.0,0.3359335915714738,-0.5294117647058828,-2.05623564911989,0.4705882352940783,-0.6426865866289365,-2.076702943522849,0
0.0,-0.3728783531340672,0.7352941176470591,-0.8083138308373787,-0.4117647058823687,0.782741048655935,-0.8605918531862886,0
0.0,0.3511002988889287,-0.4338235294117648,0.5636388521769901,-0.7058823529411509,-0.46768237850194366,0.5900864416808737,0
2.0,1.8932483604566064,-1.3823529411764712,-0.02535900959626924,-0.11764705882351957,-1.669143929835818,0.17747084744018757,0
0.0,-0.1869524046388547,0.5808823529411766,-2.142032472809025,0.4705882352940783,0.6993071856969499,-2.228800592226076,0
